id,production companies
152,Paramount Pictures
11474,Paramount Pictures
10734,Paramount Pictures
29723,Universal Pictures
6471,Universal Pictures
33521,Universal Pictures
90,Paramount Pictures
1788,Paramount Pictures
9730,Paramount Pictures
15144,Universal Pictures
11884,Universal Pictures
8764,Paramount Pictures
10631,Universal Pictures
14746,Universal Pictures
48677,Universal Pictures
11495,Universal Pictures
11221,Paramount Pictures
111,Universal Pictures
1621,Paramount Pictures
17692,Universal Pictures
4543,Universal Pictures
11050,Paramount Pictures
18835,Universal Pictures
12695,Paramount Pictures
11336,Paramount Pictures
535,Paramount Pictures
232,Universal Pictures
10805,Paramount Pictures
10576,Universal Pictures
837,Universal Pictures
26198,Paramount Pictures
9967,Paramount Pictures
63,Universal Pictures
524,Universal Pictures
9603,Paramount Pictures
9598,Universal Pictures
8839,Universal Pictures
9804,Universal Pictures
9271,Paramount Pictures
9090,Universal Pictures
11008,Universal Pictures
11860,Paramount Pictures
2086,Paramount Pictures
11381,Paramount Pictures
9066,Paramount Pictures
28313,Paramount Pictures
11863,Paramount Pictures
6715,Universal Pictures
9059,Universal Pictures
12122,Universal Pictures
12158,Paramount Pictures
9091,Universal Pictures
10329,Paramount Pictures
9089,Paramount Pictures
11359,Paramount Pictures
11861,Universal Pictures
20649,Universal Pictures
766,Universal Pictures
9374,Universal Pictures
8872,Paramount Pictures
11806,Universal Pictures
2322,Universal Pictures
1492,Paramount Pictures
10906,Paramount Pictures
9475,Universal Pictures
9876,Universal Pictures
9869,Paramount Pictures
14684,Paramount Pictures
14239,Paramount Pictures
11066,Paramount Pictures
10407,Universal Pictures
16136,Paramount Pictures
25095,Paramount Pictures
13199,Universal Pictures
18722,Universal Pictures
10424,Paramount Pictures
12772,Paramount Pictures
14603,Universal Pictures
61225,Universal Pictures
2007,Universal Pictures
19087,Paramount Pictures
814,Universal Pictures
11816,Universal Pictures
9725,Paramount Pictures
11281,Universal Pictures
25566,Paramount Pictures
848,Paramount Pictures
21515,Paramount Pictures
24634,Universal Pictures
39874,Paramount Pictures
15660,Paramount Pictures
26560,Universal Pictures
954,Paramount Pictures
199,Paramount Pictures
9614,Universal Pictures
8840,Universal Pictures
11228,Universal Pictures
9103,Universal Pictures
664,Universal Pictures
10061,Paramount Pictures
1592,Paramount Pictures
10280,Paramount Pictures
10723,Universal Pictures
11112,Universal Pictures
17182,Paramount Pictures
3179,Paramount Pictures
2925,Paramount Pictures
36355,Universal Pictures
12606,Paramount Pictures
9826,Paramount Pictures
13997,Paramount Pictures
18414,Paramount Pictures
38223,Paramount Pictures
32308,Universal Pictures
3065,Universal Pictures
955,Paramount Pictures
3981,Paramount Pictures
3536,Universal Pictures
134,Universal Pictures
5994,Universal Pictures
11478,Universal Pictures
479,Paramount Pictures
10685,Universal Pictures
889,Universal Pictures
10479,Paramount Pictures
11004,Paramount Pictures
16340,Paramount Pictures
10391,Paramount Pictures
1831,Paramount Pictures
10783,Paramount Pictures
601,Universal Pictures
1091,Universal Pictures
6217,Universal Pictures
9387,Universal Pictures
150,Paramount Pictures
154,Paramount Pictures
13342,Universal Pictures
2665,Paramount Pictures
9442,Universal Pictures
2623,Paramount Pictures
9037,Paramount Pictures
9728,Paramount Pictures
10676,Universal Pictures
22023,Universal Pictures
16363,Universal Pictures
47955,Paramount Pictures
37165,Paramount Pictures
857,Paramount Pictures
8656,Paramount Pictures
297,Universal Pictures
1878,Universal Pictures
11551,Universal Pictures
200,Paramount Pictures
1389,Universal Pictures
10312,Universal Pictures
9429,Paramount Pictures
8688,Paramount Pictures
9440,Universal Pictures
10215,Paramount Pictures
26269,Paramount Pictures
11568,Universal Pictures
11258,Paramount Pictures
9422,Paramount Pictures
18316,Universal Pictures
10223,Paramount Pictures
14557,Paramount Pictures
9490,Universal Pictures
27472,Paramount Pictures
165,Universal Pictures
172,Paramount Pictures
8913,Paramount Pictures
2604,Universal Pictures
2616,Universal Pictures
9942,Paramount Pictures
5971,Paramount Pictures
10345,Universal Pictures
10283,Paramount Pictures
11352,Universal Pictures
9085,Paramount Pictures
4105,Paramount Pictures
925,Universal Pictures
14628,Universal Pictures
183,Universal Pictures
19118,Paramount Pictures
1598,Universal Pictures
174,Paramount Pictures
37137,Paramount Pictures
2924,Universal Pictures
2907,Paramount Pictures
10380,Universal Pictures
11187,Universal Pictures
1633,Universal Pictures
11384,Universal Pictures
11364,Paramount Pictures
1713,Universal Pictures
10804,Universal Pictures
11498,Paramount Pictures
25562,Paramount Pictures
16270,Universal Pictures
20704,Paramount Pictures
19065,Universal Pictures
18886,Paramount Pictures
3784,Paramount Pictures
20096,Paramount Pictures
21219,Universal Pictures
17956,Paramount Pictures
37136,Paramount Pictures
9602,Paramount Pictures
9493,Universal Pictures
12144,Universal Pictures
9647,Paramount Pictures
9396,Paramount Pictures
8337,Universal Pictures
15158,Universal Pictures
10281,Paramount Pictures
11851,Paramount Pictures
9013,Universal Pictures
11051,Universal Pictures
10868,Paramount Pictures
2617,Universal Pictures
10130,Universal Pictures
12714,Paramount Pictures
30502,Paramount Pictures
11503,Universal Pictures
19382,Universal Pictures
580,Universal Pictures
96,Paramount Pictures
117,Paramount Pictures
10998,Paramount Pictures
2609,Paramount Pictures
11548,Universal Pictures
15143,Paramount Pictures
10023,Universal Pictures
8989,Universal Pictures
10021,Universal Pictures
8852,Universal Pictures
17159,Paramount Pictures
14671,Paramount Pictures
5709,Universal Pictures
14464,Paramount Pictures
12506,Universal Pictures
10652,Paramount Pictures
13339,Universal Pictures
805,Paramount Pictures
11356,Paramount Pictures
6003,Paramount Pictures
32726,Universal Pictures
26170,Universal Pictures
240,Paramount Pictures
829,Paramount Pictures
592,Paramount Pictures
4176,Paramount Pictures
27932,Universal Pictures
5121,Universal Pictures
11034,Paramount Pictures
13939,Paramount Pictures
11123,Universal Pictures
4985,Paramount Pictures
59189,Paramount Pictures
578,Universal Pictures
11963,Paramount Pictures
3121,Paramount Pictures
